,brand,ram_gb,storage_gb,expandable_storage,battery_type,battery_mah,rear_camera_mp,front_camera_mp,rear_camera_count,rating,reviews,price,display_inch,processor_family,warranty_months
0,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,5000.0,14,8.0,2,4.4,55078.0,9999,6.22,Snapdragon,12.0
1,Realme,4 GB RAM,64 GB ROM,,standard battery,5000.0,24,8.0,4,4.5,20062.0,10999,6.52,Snapdragon,
2,Realme,4 GB RAM,128 GB ROM,,standard battery,5000.0,24,8.0,4,4.5,20062.0,11999,6.52,Snapdragon,
3,Realme,4 GB RAM,128 GB ROM,,standard battery,5000.0,24,8.0,4,4.5,20062.0,11999,6.52,Snapdragon,
4,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,10091.0,7499,6.1,Mediatek,
5,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,10091.0,7499,6.1,Mediatek,
6,Realme,2 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,67674.0,6999,6.1,Mediatek,
7,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,10091.0,7499,6.1,Mediatek,
8,Realme,4 GB RAM,64 GB ROM,,standard battery,5000.0,24,8.0,4,4.5,20062.0,10999,6.52,Snapdragon,
9,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,10091.0,7499,6.1,Mediatek,
10,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,5000.0,14,8.0,2,4.4,55078.0,9999,6.22,Snapdragon,12.0
11,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,5000.0,14,8.0,2,4.4,55078.0,9999,6.22,Snapdragon,12.0
12,Tecno,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion polymer battery,6000.0,23,16.0,3,4.3,2358.0,9999,7.0,Mediatek,
13,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,14,5.0,2,4.5,5641.0,8999,6.52,Mediatek,12.0
14,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,14,5.0,2,4.5,8877.0,9999,6.52,Mediatek,12.0
15,Realme,2 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,67674.0,6999,6.1,Mediatek,
16,Realme,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,76,16.0,4,4.4,4318.0,15999,6.5,Mediatek,
17,POCO,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion polymer battery,4500.0,76,20.0,4,4.5,17578.0,18499,6.67,Snapdragon,12.0
18,Infinix,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion polymer battery,5000.0,17,8.0,3,4.5,2263.0,9499,6.6,Mediatek,12.0
19,Infinix,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion polymer battery,5000.0,17,8.0,3,4.5,2263.0,9499,6.6,Mediatek,12.0
20,Realme,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,60,16.0,4,4.5,532.0,14999,6.5,Mediatek,12.0
21,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,60,16.0,4,4.5,1953.0,12999,6.5,Mediatek,12.0
22,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,60,16.0,4,4.5,1953.0,12999,6.5,Mediatek,12.0
23,Realme,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,60,16.0,4,4.5,532.0,14999,6.5,Mediatek,12.0
24,OPPO,4 GB RAM,128 GB ROM,,standard battery,5000.0,60,16.0,4,4.3,4140.0,12990,6.5,Other,12.0
25,Motorola,6 GB RAM,128 GB ROM,Expandable Upto 1 TB,lithium polymer battery,5000.0,79,16.0,4,4.4,2584.0,17499,6.5,Snapdragon,12.0
26,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,lithium-ion battery,5000.0,16,5.0,3,4.5,3204.0,8999,6.52,Mediatek,12.0
27,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,lithium-ion battery,5000.0,16,5.0,3,4.5,2170.0,9999,6.52,Mediatek,12.0
28,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,lithium-ion battery,5000.0,16,5.0,3,4.5,2170.0,9999,6.52,Mediatek,12.0
29,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,lithium-ion battery,5000.0,16,5.0,3,4.5,3204.0,8999,6.52,Mediatek,12.0
30,Infinix,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,lithium-ion polymer battery,6000.0,13,8.0,1,4.4,1667.0,7999,6.82,Mediatek,12.0
31,POCO,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion polymer battery,5000.0,63,16.0,4,4.5,421.0,13999,6.67,Snapdragon,12.0
32,POCO,6 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion polymer battery,5000.0,63,16.0,4,4.5,1721.0,14999,6.67,Snapdragon,12.0
33,OPPO,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,8.0,2,4.3,588.0,9990,6.2,Mediatek,12.0
34,POCO,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion polymer battery,5000.0,63,16.0,4,4.5,421.0,13999,6.67,Snapdragon,12.0
35,Vivo,2 GB RAM,32 GB ROM,Expandable Upto 256 GB,li-ion battery,4030.0,13,5.0,1,4.3,1698.0,7880,6.22,Mediatek,12.0
36,Vivo,3 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,23,8.0,3,4.4,1210.0,10990,6.35,Mediatek,12.0
37,Vivo,3 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,23,8.0,3,4.4,1210.0,10990,6.35,Mediatek,12.0
38,Vivo,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,23,16.0,3,4.4,1714.0,12990,6.35,Mediatek,12.0
39,Vivo,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,23,16.0,3,4.4,1714.0,12990,6.35,Mediatek,12.0
40,Realme,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,76,16.0,4,4.4,2740.0,17999,6.5,Mediatek,
41,Vivo,3 GB RAM,32 GB ROM,,standard battery,5000.0,15,8.0,2,4.4,405.0,9890,6.35,Other,12.0
42,Realme,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4035.0,60,16.0,4,4.5,7223.0,16999,6.3,Snapdragon,
43,Realme,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4035.0,60,16.0,4,4.5,9978.0,14999,6.3,Snapdragon,
44,Infinix,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion polymer battery,5000.0,52,8.0,3,4.5,1760.0,10499,6.6,Mediatek,12.0
45,Redmi,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,li-polymer battery,4500.0,76,20.0,4,4.4,5309.0,17499,6.53,Mediatek,12.0
46,Infinix,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,lithium-ion polymer battery,6000.0,13,8.0,1,4.4,1667.0,7999,6.82,Mediatek,12.0
47,Infinix,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion polymer battery,5000.0,52,8.0,3,4.5,1760.0,10499,6.6,Mediatek,12.0
48,Realme,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4035.0,60,16.0,4,4.5,7223.0,16999,6.3,Snapdragon,
49,Realme,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4035.0,60,16.0,4,4.5,9978.0,14999,6.3,Snapdragon,
50,Realme,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4035.0,60,16.0,4,4.5,7223.0,16999,6.3,Snapdragon,
51,Realme,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4035.0,60,16.0,4,4.5,9978.0,14999,6.3,Snapdragon,
52,OPPO,6 GB RAM,256 GB ROM,,standard battery,4000.0,60,16.0,4,4.5,210.0,17990,6.5,Mediatek,12.0
53,OPPO,6 GB RAM,256 GB ROM,,standard battery,4000.0,60,16.0,4,4.5,210.0,17990,6.5,Mediatek,12.0
54,Vivo,6 GB RAM,64 GB ROM,,li-ion battery,4500.0,58,32.0,3,4.4,16078.0,16990,6.38,Snapdragon,
55,Vivo,6 GB RAM,64 GB ROM,,li-ion battery,4500.0,58,32.0,3,4.4,16078.0,16990,6.38,Snapdragon,
56,Vivo,8 GB RAM,128 GB ROM,,li-ion battery,4500.0,58,32.0,3,4.4,2295.0,18990,6.38,Snapdragon,
57,Vivo,3 GB RAM,32 GB ROM,,standard battery,5000.0,15,8.0,2,4.4,405.0,9890,6.35,Other,12.0
58,POCO,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion polymer battery,5000.0,63,16.0,4,4.5,1721.0,16999,6.67,Snapdragon,12.0
59,Realme,6 GB RAM,128 GB ROM,,standard battery,4200.0,86,16.0,4,4.4,101.0,24999,6.57,Snapdragon,
60,Infinix,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,lithium-ion polymer battery,6000.0,13,8.0,1,4.4,1667.0,7999,6.82,Mediatek,12.0
61,POCO,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion polymer battery,5000.0,63,16.0,4,4.5,1721.0,16999,6.67,Snapdragon,12.0
62,Vivo,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,li-ion battery,5000.0,23,8.0,3,4.4,2599.0,10990,6.35,Snapdragon,
63,Realme,8 GB RAM,128 GB ROM,,standard battery,4000.0,76,32.0,4,4.5,4405.0,20999,6.4,Snapdragon,
64,OPPO,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,8.0,2,4.3,588.0,9990,6.2,Mediatek,12.0
65,OPPO,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,8.0,2,4.3,588.0,9990,6.2,Mediatek,12.0
66,OPPO,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,16,8.0,3,4.3,840.0,12490,6.5,Mediatek,12.0
67,OPPO,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,16,8.0,3,4.3,840.0,12490,6.5,Mediatek,12.0
68,Redmi,3 GB RAM,64 GB ROM,,standard battery,5000.0,15,8.0,2,4.2,170.0,9899,6.22,Snapdragon,12.0
69,Redmi,2 GB RAM,32 GB ROM,Expandable Upto 512 GB,standard battery,5000.0,15,8.0,2,4.2,310.0,8345,6.22,Snapdragon,12.0
70,OPPO,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,60,16.0,4,4.3,19.0,16990,6.4,Mediatek,12.0
71,OPPO,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,60,16.0,4,4.3,19.0,16990,6.4,Mediatek,12.0
72,Vivo,2 GB RAM,32 GB ROM,Expandable Upto 256 GB,li-ion battery,4030.0,13,5.0,1,4.3,1698.0,7880,6.22,Mediatek,12.0
73,Vivo,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,lithium-ion battery,5000.0,25,16.0,4,4.4,237.0,17990,6.53,Snapdragon,12.0
74,Realme,8 GB RAM,256 GB ROM,,standard battery,4000.0,76,32.0,4,4.5,4405.0,22999,6.4,Snapdragon,
75,Vivo,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,lithium-ion battery,5000.0,25,8.0,4,4.3,89.0,14990,6.47,Mediatek,12.0
76,Vivo,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,lithium-ion battery,5000.0,25,8.0,4,4.3,89.0,14990,6.47,Mediatek,12.0
77,OPPO,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,5.0,2,4.3,994.0,9990,6.22,Mediatek,12.0
78,OPPO,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,5.0,2,4.3,77.0,11490,6.22,Mediatek,12.0
79,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,5000.0,14,8.0,2,4.4,55078.0,9999,6.22,Snapdragon,12.0
80,Realme,4 GB RAM,64 GB ROM,,standard battery,5000.0,24,8.0,4,4.5,20062.0,10999,6.52,Snapdragon,
81,Realme,4 GB RAM,128 GB ROM,,standard battery,5000.0,24,8.0,4,4.5,20062.0,11999,6.52,Snapdragon,
82,Realme,4 GB RAM,128 GB ROM,,standard battery,5000.0,24,8.0,4,4.5,20062.0,11999,6.52,Snapdragon,
83,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,10091.0,7499,6.1,Mediatek,
84,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,10091.0,7499,6.1,Mediatek,
85,Realme,2 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,67674.0,6999,6.1,Mediatek,
86,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,10091.0,7499,6.1,Mediatek,
87,Realme,4 GB RAM,64 GB ROM,,standard battery,5000.0,24,8.0,4,4.5,20062.0,10999,6.52,Snapdragon,
88,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,10091.0,7499,6.1,Mediatek,
89,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,5000.0,14,8.0,2,4.4,55078.0,9999,6.22,Snapdragon,12.0
90,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,5000.0,14,8.0,2,4.4,55078.0,9999,6.22,Snapdragon,12.0
91,Tecno,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion polymer battery,6000.0,23,16.0,3,4.3,2358.0,9999,7.0,Mediatek,
92,Realme,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,14,5.0,2,4.5,5641.0,8999,6.52,Mediatek,12.0
93,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,14,5.0,2,4.5,8877.0,9999,6.52,Mediatek,12.0
94,Realme,2 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,15,5.0,2,4.4,67674.0,6999,6.1,Mediatek,
95,POCO,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion polymer battery,4500.0,76,20.0,4,4.5,17578.0,18499,6.67,Snapdragon,12.0
96,Realme,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,60,13.0,4,4.4,24323.0,11999,6.5,Snapdragon,
97,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,76,16.0,4,4.4,7062.0,14999,6.5,Mediatek,
98,Realme,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,60,13.0,4,4.4,24323.0,11999,6.5,Snapdragon,
99,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,60,13.0,4,4.4,24323.0,10999,6.5,Snapdragon,
100,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,60,13.0,4,4.4,24323.0,10999,6.5,Snapdragon,
101,OPPO,4 GB RAM,128 GB ROM,,standard battery,5000.0,60,16.0,4,4.3,4140.0,12990,6.52,Other,12.0
102,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,5000.0,14,8.0,2,4.4,55078.0,9999,6.22,Snapdragon,12.0
103,Realme,6 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,86,16.0,4,4.4,3991.0,17999,6.6,Snapdragon,
104,Realme,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,86,16.0,4,4.4,3991.0,18999,6.6,Snapdragon,
105,Infinix,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion polymer battery,4000.0,50,16.0,2,4.4,1595.0,11499,6.53,Mediatek,
106,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4035.0,60,16.0,4,4.5,13778.0,13999,6.3,Snapdragon,
107,Vivo,6 GB RAM,128 GB ROM,,li-ion battery,4500.0,58,32.0,3,4.4,16078.0,17990,6.38,Snapdragon,
108,Vivo,6 GB RAM,128 GB ROM,,li-ion battery,4500.0,58,32.0,3,4.4,16078.0,17990,6.38,Snapdragon,
109,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,76,16.0,4,4.4,7062.0,14999,6.5,Mediatek,
110,POCO,8 GB RAM,256 GB ROM,Expandable Upto 512 GB,lithium-ion polymer battery,4500.0,76,20.0,4,4.5,5322.0,21499,6.67,Snapdragon,12.0
111,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4035.0,60,16.0,4,4.5,13778.0,13999,6.3,Snapdragon,
112,OPPO,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,8.0,2,4.3,588.0,9990,6.2,Mediatek,12.0
113,Realme,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4300.0,86,16.0,4,4.4,3991.0,18999,6.6,Snapdragon,
114,Infinix,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion polymer battery,4000.0,50,16.0,2,4.4,1595.0,11499,6.53,Mediatek,
115,Infinix,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion polymer battery,4000.0,50,16.0,2,4.4,1595.0,11499,6.53,Mediatek,
116,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,5020.0,48,,1,4.4,35.0,13999,6.53,Mediatek,12.0
117,Redmi,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,standard battery,5020.0,48,,1,4.4,35.0,14498,6.53,Mediatek,12.0
118,Vivo,8 GB RAM,256 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4500.0,60,32.0,4,4.4,470.0,27990,6.44,Snapdragon,12.0
119,Redmi,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,li-polymer battery,4500.0,76,20.0,4,4.4,5309.0,17499,6.53,Mediatek,12.0
120,Vivo,8 GB RAM,128 GB ROM,,li-ion battery,4500.0,58,32.0,3,4.4,2295.0,18990,6.38,Snapdragon,
121,Vivo,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,li-ion battery,5000.0,23,8.0,3,4.4,2599.0,10990,6.35,Snapdragon,
122,OPPO,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,lithium-ion polymer battery,4000.0,60,32.0,4,4.7,38.0,34990,6.5,Snapdragon,
123,Redmi,6 GB RAM,128 GB ROM,,li-polymer battery,4000.0,69,20.0,3,4.5,8007.0,24999,6.39,Snapdragon,12.0
124,Redmi,3 GB RAM,64 GB ROM,,standard battery,5000.0,15,8.0,2,4.2,170.0,9899,6.22,Snapdragon,12.0
125,Redmi,2 GB RAM,32 GB ROM,Expandable Upto 512 GB,standard battery,5000.0,15,8.0,2,4.2,310.0,8299,6.22,Snapdragon,12.0
126,Redmi,6 GB RAM,128 GB ROM,,li-polymer battery,4000.0,69,20.0,3,4.5,8007.0,24999,6.39,Snapdragon,12.0
127,Samsung,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,standard battery,6000.0,82,32.0,4,4.4,78.0,19790,6.4,Exynos,12.0
128,OPPO,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,16,8.0,3,4.3,219.0,14990,6.5,Mediatek,12.0
129,Realme,8 GB RAM,128 GB ROM,,standard battery,4000.0,76,32.0,4,4.5,4405.0,20999,6.4,Snapdragon,
130,Vivo,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,26,32.0,3,4.5,14659.0,17990,6.53,Snapdragon,
131,POCO,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion polymer battery,5000.0,63,16.0,4,4.5,1721.0,16999,6.67,Snapdragon,12.0
132,Redmi,4 GB RAM,128 GB ROM,Expandable Upto 512 GB,standard battery,5020.0,48,,1,4.4,35.0,15864,6.53,Mediatek,12.0
133,Redmi,4 GB RAM,128 GB ROM,Expandable Upto 512 GB,standard battery,5020.0,48,,1,4.4,35.0,15891,6.53,Mediatek,12.0
134,Samsung,3 GB RAM,32 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4000.0,15,5.0,2,4.2,434.0,9488,5.7,Snapdragon,12.0
135,OPPO,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,5.0,2,4.3,77.0,11490,6.22,Mediatek,12.0
136,OPPO,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,5.0,2,4.3,994.0,9990,6.22,Mediatek,12.0
137,Vivo,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,lithium-ion battery,4030.0,13,5.0,1,4.3,206.0,8990,6.22,Mediatek,12.0
138,Redmi,6 GB RAM,128 GB ROM,,li-polymer battery,4000.0,69,20.0,3,4.5,8007.0,24999,6.39,Snapdragon,12.0
139,OPPO,8 GB RAM,128 GB ROM,,standard battery,4000.0,60,16.0,4,4.4,306.0,21990,6.5,Mediatek,12.0
140,OPPO,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,60,16.0,4,4.4,1089.0,18990,6.4,Mediatek,
141,Realme,8 GB RAM,128 GB ROM,,standard battery,4200.0,86,16.0,4,4.4,468.0,25999,6.57,Snapdragon,
142,Tecno,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion polymer battery battery,5000.0,52,16.0,3,4.2,393.0,11499,6.55,Mediatek,13.0
143,Vivo,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,lithium-ion battery,5000.0,25,16.0,4,4.4,237.0,17990,6.53,Snapdragon,12.0
144,Realme,4 GB RAM,64 GB ROM,,standard battery,4000.0,76,32.0,4,4.5,3955.0,17999,6.4,Snapdragon,
145,Vivo,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,26,32.0,3,4.5,14660.0,17990,6.53,Snapdragon,
146,OPPO,2 GB RAM,32 GB ROM,Expandable Upto 256 GB,li-polymer battery,4000.0,8,5.0,1,4.3,576.0,9590,6.1,Other,12.0
147,OPPO,2 GB RAM,32 GB ROM,Expandable Upto 256 GB,standard battery,4230.0,15,8.0,2,4.3,768.0,7990,6.2,Mediatek,12.0
148,Redmi,3 GB RAM,64 GB ROM,,standard battery,5000.0,15,8.0,2,4.2,170.0,9899,6.22,Snapdragon,12.0
149,Redmi,2 GB RAM,32 GB ROM,Expandable Upto 512 GB,standard battery,5000.0,15,8.0,2,4.2,310.0,8400,6.22,Snapdragon,12.0
150,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion battery,5000.0,20,8.0,3,4.2,251.0,13859,6.4,Snapdragon,12.0
151,OPPO,8 GB RAM,128 GB ROM,,standard battery,4000.0,60,16.0,4,4.4,306.0,21990,6.5,Mediatek,12.0
152,Vivo,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,li-ion battery,5000.0,26,16.0,3,4.4,398.0,14990,6.53,Mediatek,12.0
153,Vivo,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,lithium polymer battery,4500.0,60,32.0,4,4.4,1048.0,19990,6.38,Snapdragon,12.0
154,Vivo,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,lithium polymer battery,4500.0,60,32.0,4,4.4,1048.0,19990,6.38,Snapdragon,12.0
155,iQOO,8 GB RAM,256 GB ROM,,li-ion battery,4440.0,76,16.0,4,4.5,1169.0,37990,6.44,Snapdragon,
156,OPPO,8 GB RAM,128 GB ROM,,standard battery,5000.0,60,16.0,4,4.3,1633.0,21889,6.5,Other,12.0
157,OPPO,2 GB RAM,32 GB ROM,Expandable Upto 256 GB,li-polymer battery,4230.0,15,5.0,2,4.2,220.0,8990,6.22,Other,12.0
158,Redmi,6 GB RAM,64 GB ROM,Expandable Upto 512 GB,li-polymer battery,4500.0,76,20.0,4,4.4,5309.0,16989,6.53,Mediatek,12.0
159,OPPO,8 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,4000.0,60,16.0,4,4.4,1089.0,18990,6.4,Mediatek,
160,Realme,12 GB RAM,256 GB ROM,,standard battery,4000.0,87,16.0,4,4.6,955.0,35999,6.5,Snapdragon,
161,Samsung,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion battery,5000.0,66,20.0,4,4.3,360.0,20999,6.4,Mediatek,12.0
162,Samsung,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,standard battery,6000.0,82,32.0,4,4.4,78.0,19948,6.4,Exynos,12.0
163,Samsung,8 GB RAM,128 GB ROM,,standard battery,3700.0,56,48.0,2,4.4,618.0,33333,6.7,Snapdragon,12.0
164,OPPO,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,lithium polymer battery,5000.0,24,16.0,4,4.3,157.0,16990,6.5,Snapdragon,12.0
165,Vivo,8 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4500.0,60,32.0,4,4.4,470.0,24990,6.44,Snapdragon,12.0
166,Vivo,8 GB RAM,256 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4500.0,60,32.0,4,4.4,470.0,27990,6.44,Snapdragon,12.0
167,Vivo,8 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion battery,4500.0,60,32.0,4,4.4,470.0,24990,6.44,Snapdragon,12.0
168,Realme,8 GB RAM,128 GB ROM,,standard battery,4200.0,86,16.0,4,4.4,468.0,25999,6.57,Snapdragon,
169,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion battery,5000.0,60,13.0,4,4.2,423.0,15999,6.5,Exynos,12.0
170,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion battery,5000.0,60,13.0,4,4.2,423.0,15999,6.5,Exynos,12.0
171,Vivo,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,lithium-ion battery,4030.0,13,5.0,1,4.3,206.0,8990,6.22,Mediatek,12.0
172,Realme,4 GB RAM,128 GB ROM,,standard battery,3765.0,53,16.0,2,4.5,13219.0,17999,6.53,Snapdragon,
173,Realme,8 GB RAM,128 GB ROM,,standard battery,3765.0,53,16.0,2,4.5,5073.0,20999,6.53,Snapdragon,
174,Samsung,6 GB RAM,128 GB ROM,Expandable Upto 512 GB,lithium-ion battery,5000.0,66,20.0,4,4.3,360.0,20999,6.4,Mediatek,12.0
175,Nokia,2 GB RAM,32 GB ROM,Expandable Upto 512 GB,standard battery,4000.0,15,5.0,2,4.1,82.0,8890,6.2,Mediatek,12.0
176,Nokia,2 GB RAM,32 GB ROM,Expandable Upto 512 GB,standard battery,4000.0,15,5.0,2,4.1,82.0,8898,6.2,Mediatek,12.0
177,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion battery,5000.0,20,8.0,3,4.2,251.0,13984,6.4,Snapdragon,12.0
178,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion battery,5000.0,60,13.0,4,4.2,423.0,15999,6.5,Exynos,12.0
179,Samsung,4 GB RAM,64 GB ROM,Expandable Upto 512 GB,lithium-ion battery,5000.0,20,8.0,3,4.2,251.0,14598,6.4,Snapdragon,12.0
